tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-exact-date-of-birth,animal-latest-date-born,animal-life-stage,animal-sex,animal-taxon-detail,attachment-type,deploy-on-person,deployment-comments,deployment-end-comments,deployment-end-type,deployment-id,duty-cycle,manipulation-type,study-site,tag-manufacturer-name,tag-model,tag-readout-method
765,Maria,Chelonoidis donfaustoi,00:00.0,00:00.0,domed:carapace length 90.3 cm,,00:00.0,adult,f,,glue,,,,,765-Maria,hourly from 6:00-19:00 local time,none,Isla Santa Cruz east (Cerro Fatal),e-obs GmbH,custom GPS logger,other-wireless
767,Karla,Chelonoidis donfaustoi,00:00.0,00:00.0,domed:carapace length 89.5 cm,,00:00.0,adult,f,,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,767-Karla,hourly from 6:00-19:00 local time,none,Isla Santa Cruz east (Cerro Fatal),e-obs GmbH,custom GPS logger,other-wireless
766,Helber,Chelonoidis donfaustoi,00:00.0,00:00.0,domed:carapace length 118.5 cm,,00:00.0,adult,m,,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,766-Helber,hourly from 6:00-19:00 local time,none,Isla Santa Cruz east (Cerro Fatal),e-obs GmbH,custom GPS logger,other-wireless
769,Wilman,Chelonoidis donfaustoi,00:00.0,00:00.0,domed:carapace length 109.5 cm,,00:00.0,adult,m,,glue,,,,,769-Wilman,hourly from 6:00-19:00 local time,none,Isla Santa Cruz east (Cerro Fatal),e-obs GmbH,custom GPS logger,other-wireless
771,Lolo,Chelonoidis porteri,00:00.0,00:00.0,domed:carapace length 151 cm,,00:00.0,adult,m,,glue,,,,,771-Lolo,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),e-obs GmbH,custom GPS logger,other-wireless
770,Delmira,Chelonoidis porteri,00:00.0,00:00.0,domed: carapace length 100 cm,,00:00.0,adult,f,,glue,,,,,770-Delmira,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),e-obs GmbH,custom GPS logger,other-wireless
774,Carolina,Chelonoidis porteri,00:00.0,00:00.0,domed:carapace length 105 cm,,00:00.0,adult,f,,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,774-Carolina,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),e-obs GmbH,custom GPS logger,other-wireless
775,Sebastian,Chelonoidis porteri,00:00.0,00:00.0,domed:carapace length 142 cm,,00:00.0,adult,m,,glue,,,tag battery life over,,775-Sebastian Keynes,,none,Isla Santa Cruz west (La Reserva),e-obs GmbH,custom GPS logger,other-wireless
1021,Patty,Chelonoidis porteri,00:00.0,00:00.0,domed:carapace length 93 cm,,,adult,f,,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),animal never found again,other,1021-Patty,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),e-obs GmbH,custom GPS logger,other-wireless
1022,Wacho,Chelonoidis porteri,00:00.0,00:00.0,domed:carapace length 150.2 cm,,,adult,m,,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),never found again,other,1022-Wacho,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),e-obs GmbH,custom GPS logger,other-wireless
1190,Nigrita,Chelonoidis donfaustoi,00:00.0,00:00.0,domed:carapace length 96.2 cm,,,adult,f,,glue,,,tag battery failed,equipment-failure,1190-Nigrita,hourly from 6:00-19:00 local time,none,Isla Santa Cruz east (Cerro Fatal),e-obs GmbH,custom GPS logger,other-wireless
1191,Jumbo,Chelonoidis donfaustoi,00:00.0,00:00.0,domed:carapace length 129.6 cm,,,adult,m,,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),tag battery failed,equipment-failure,1191-Jumbo,hourly from 6:00-19:00 local time,none,Isla Santa Cruz east (Cerro Fatal),e-obs GmbH,custom GPS logger,other-wireless
1273,Sandra,Chelonoidis donfaustoi,00:00.0,00:00.0,domed:carapace length 113.8 cm,,,adult,f,,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),estimated last date,equipment-failure,1273-Sandra,hourly from 6:00-19:00 local time,none,Isla Santa Cruz east (Cerro Fatal),e-obs GmbH,custom GPS logger,other-wireless
1274,Fredy,Chelonoidis donfaustoi,00:00.0,00:00.0,domed:carapace length 126.8 cm,,,adult,m,,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),estimated last day of battery,equipment-failure,1274-Fredy,hourly from 6:00-19:00 local time,none,Isla Santa Cruz east (Cerro Fatal),e-obs GmbH,custom GPS logger,other-wireless
1396,Sepp,Chelonoidis porteri,00:00.0,00:00.0,domed:carapace length 139.2 cm,,,adult,m,,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),tag fell off,fall-off,1396-Sepp,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),e-obs GmbH,custom GPS logger,other-wireless
1399,Lore,Chelonoidis porteri,00:00.0,,domed:carapace length 105 cm,,,adult,f,,glue,,,,,1399-Lore,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),e-obs GmbH,custom GPS logger,other-wireless
1400,Mandy,Chelonoidis porteri,00:00.0,00:00.0,domed:carapace length 105 cm,,,adult,f,,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,1400-Mandy,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),e-obs GmbH,custom GPS logger,other-wireless
1397,Karlitos,Chelonoidis porteri,00:00.0,,domed:carapace length 149.4 cm,,,adult,m,,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,1397-Karlitos,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),e-obs GmbH,custom GPS logger,other-wireless
1402,Alison,Chelonoidis donfaustoi,00:00.0,,domed:carapace length 103 cm,,,adult,f,,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,1402-Alison,hourly from 6:00-19:00 local time,none,Isla Santa Cruz east (Cerro Fatal),e-obs GmbH,custom GPS logger,other-wireless
1408,Kitty,Chelonoidis donfaustoi,00:00.0,,domed:carapace length 92.1 cm,,,adult,f,,glue,,,,,1408-Kitty,hourly from 6:00-19:00 local time,none,Isla Santa Cruz east (Cerro Fatal),e-obs GmbH,custom GPS logger,other-wireless
1410,Marilyn,Chelonoidis donfaustoi,00:00.0,,domed:carapace length 91.6 cm,,,adult,f,,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,1410-Marilyn,hourly from 6:00-19:00 local time,none,Isla Santa Cruz east (Cerro Fatal),e-obs GmbH,custom GPS logger,other-wireless
1405,Herbert,Chelonoidis donfaustoi,00:00.0,,domed:carapace length 122.8 cm,,,adult,m,,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,1405-Herbert,hourly from 6:00-19:00 local time,none,Isla Santa Cruz east (Cerro Fatal),e-obs GmbH,custom GPS logger,other-wireless
1403,Steve Devine,Chelonoidis porteri,00:00.0,,domed:carapace length 145 cm,,,adult,m,,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,1403-Steve Devine,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),e-obs GmbH,custom GPS logger,other-wireless
1401,Connor,Chelonoidis donfaustoi,00:00.0,00:00.0,domed:carapace length 134.5 cm,,,adult,m,,glue,Steve Blake,crittercam fitted on first day of tagging; 2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,1401-Connor,hourly from 6:00-19:00 local time,none,Isla Santa Cruz east (Cerro Fatal),e-obs GmbH,custom GPS logger,other-wireless
1381,Birgit,Chelonoidis,00:00.0,00:00.0,domed:carapace length 102 cm,,,adult,f,vandenburghi,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),"tag fell off, never recovered, found by looking at ACC data",,1381-Birgit,hourly from 6:00-19:00 local time,none,Isla Isabela (Alcedo),e-obs GmbH,custom GPS logger,other-wireless
1384,Spikey,Chelonoidis,00:00.0,,domed:carapace length 95.5 cm,,,adult,f,vandenburghi,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,1384-Spikey,hourly from 6:00-19:00 local time,none,Isla Isabela (Alcedo),e-obs GmbH,custom GPS logger,other-wireless
1379,Isabela,Chelonoidis,00:00.0,,domed:carapace length 98.3 cm,,,adult,f,vandenburghi,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,1379-Isabela,hourly from 6:00-19:00 local time,none,Isla Isabela (Alcedo),e-obs GmbH,custom GPS logger,other-wireless
1392,Sparkey,Chelonoidis,00:00.0,,domed:carapace length 139.5 cm,,,adult,m,vandenburghi,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,1392-Sparkey,hourly from 6:00-19:00 local time,none,Isla Isabela (Alcedo),e-obs GmbH,custom GPS logger,other-wireless
1393,Franz,Chelonoidis,00:00.0,,domed:carapace length 134 cm,,,adult,m,vandenburghi,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,1393-Franz,hourly from 6:00-19:00 local time,none,Isla Isabela (Alcedo),e-obs GmbH,custom GPS logger,other-wireless
1394,Franz' girlie,Chelonoidis,00:00.0,,domed:carapace length 96.5 cm,,,adult,f,vandenburghi,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,1394-Franz' girlie,hourly from 6:00-19:00 local time,none,Isla Isabela (Alcedo),e-obs GmbH,custom GPS logger,other-wireless
1391,Martin,Chelonoidis,00:00.0,,domed:carapace length 138.3 cm,,,adult,m,vandenburghi,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,1391-Martin,hourly from 6:00-19:00 local time,none,Isla Isabela (Alcedo),e-obs GmbH,custom GPS logger,other-wireless
1380,Anne,Chelonoidis,00:00.0,,domed:carapace length 98 cm,,,adult,f,vandenburghi,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,1380-Anne,hourly from 6:00-19:00 local time,none,Isla Isabela (Alcedo),e-obs GmbH,custom GPS logger,other-wireless
1386,Greg,Chelonoidis,00:00.0,,domed:carapace length 131 cm,,,adult,m,vandenburghi,glue,,,,,1386-Greg,hourly from 6:00-19:00 local time,none,Isla Isabela (Alcedo),e-obs GmbH,custom GPS logger,other-wireless
1388,Christian,Chelonoidis,00:00.0,,domed:carapace length 148 cm,,,adult,m,vandenburghi,glue,,Wonderful deployment on the rim of the Alcedo crater; 2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,1388-Christian,hourly from 6:00-19:00 local time,none,Isla Isabela (Alcedo),e-obs GmbH,custom GPS logger,other-wireless
1395,Jeneene,Chelonoidis,00:00.0,,domed:carapace length 102.3 cm,,,adult,f,vandenburghi,glue,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,1395-Jeneene,hourly from 6:00-19:00 local time,none,Isla Isabela (Alcedo),e-obs GmbH,custom GPS logger,other-wireless
1407,Wolfgang,Chelonoidis hoodensis,00:00.0,00:00.0,saddleback:carapace length 85.5 cm,,,adult,m,,glue,,,,,1407-Wolfgang,hourly from 6:00-19:00 local time,none,Isla Espanola,e-obs GmbH,custom GPS logger,other-wireless
1382,Emma Espanola,Chelonoidis hoodensis,00:00.0,00:00.0,saddleback:carapace length 66.8 cm,,,sub-adult,f,,glue,,,tag fell off,fall-off,1382-Emma,,none,Isla Espanola,e-obs GmbH,custom GPS logger,other-wireless
1385,Charles,Chelonoidis hoodensis,00:00.0,00:00.0,saddleback:carapace length 95.3 cm,,,adult,m,,glue,,,,,1385-Charles,hourly from 6:00-19:00 local time,none,Isla Espanola,e-obs GmbH,custom GPS logger,other-wireless
1404,Nathalie,Chelonoidis hoodensis,00:00.0,,saddleback:carapace length 73.8 cm,,,adult,m,,glue,,,,,1404-Nathalie,hourly from 6:00-19:00 local time,none,Isla Espanola,e-obs GmbH,custom GPS logger,other-wireless
1383,Skandar's Girlfriend,Chelonoidis hoodensis,00:00.0,00:00.0,saddleback:carapace length 65.8 cm,,,adult,f,,glue,,,tag lost,,1383-Skandar's Girlfriend,hourly from 6:00-19:00 local time,none,Isla Espanola,e-obs GmbH,custom GPS logger,other-wireless
1390,Zelfa,Chelonoidis hoodensis,00:00.0,,saddleback:carapace length 70 cm,,,adult,f,,glue,,,,,1390-Zelfa,hourly from 6:00-19:00 local time,none,Isla Espanola,e-obs GmbH,custom GPS logger,other-wireless
1378,Skandar,Chelonoidis hoodensis,00:00.0,00:00.0,saddleback:carapace length 93.6 cm,,,adult,m,,glue,,,tag was pulled off,fall-off,1378-Skandar,hourly from 6:00-19:00 local time,none,Isla Espanola,e-obs GmbH,custom GPS logger,other-wireless
1389,Randal,Chelonoidis hoodensis,00:00.0,,saddleback:carapace length 88 cm,,,adult,m,,glue,,,,,1389-Randal,hourly from 6:00-19:00 local time,none,Isla Espanola,e-obs GmbH,custom GPS logger,other-wireless
1387,James,Chelonoidis hoodensis,00:00.0,00:00.0,saddleback:carapace length 89 cm,,,adult,m,,glue,,,,,1387-James,hourly from 6:00-19:00 local time,none,Isla Espanola,e-obs GmbH,custom GPS logger,other-wireless
1398,Espanola,Chelonoidis hoodensis,00:00.0,00:00.0,saddleback:carapace length 65.5 cm,,,adult,f,,glue,,critterccammed but didnt work,,,1398-Espanola,hourly from 6:00-19:00 local time,none,Isla Espanola,e-obs GmbH,custom GPS logger,other-wireless
1406,Miriam,Chelonoidis hoodensis,00:00.0,00:00.0,saddleback:carapace length 87.3 cm,,,adult,f,,glue,,,tag dropped off and was recuperated,fall-off,1406-Miriam,hourly from 6:00-19:00 local time,none,Isla Espanola,e-obs GmbH,custom GPS logger,other-wireless
